airline_sentiment,sentiment_confidence,text,clean_text
negative,1.0,"@AmericanAir no hold times, just disconnections.   There is no excuse for that","no hold times, just disconnections. There is no excuse for that"
negative,1.0,@USAirways 'preciate it but cant get off plane to speak w agent / wont come on plane 5015 knoxville...?,'preciate it but cant get off plane to speak w agent / wont come on plane 5015 knoxville...?
negative,0.6753,@AmericanAir I know your policy. Just asking for a little kindness due to extenuating circumstances.,I know your policy. Just asking for a little kindness due to extenuating circumstances.
neutral,1.0,"@VirginAmerica Anytime, sugafly.","Anytime, sugafly."
neutral,0.698,@united refund?,refund?
negative,1.0,"@AmericanAir You've misunderstood. @USAirways WOULD NOT do a same day flight change for me. The gate agent said, ""NO.""","You've misunderstood. WOULD NOT do a same day flight change for me. The gate agent said, ""NO."""
negative,1.0,"@JetBlue we saw one, he was as useless as the tsa agents who inspected my shoes","we saw one, he was as useless as the tsa agents who inspected my shoes"
negative,1.0,"@united And then when we asked the stewardess to take the disinfectant wipe as trash she said, ""not with my hands!"" #badservice","And then when we asked the stewardess to take the disinfectant wipe as trash she said, ""not with my hands!"" #badservice"
negative,1.0,"@AmericanAir 4285. Apparently we’re told, staff on the ground keep promising to come and they don’t.","4285. Apparently we’re told, staff on the ground keep promising to come and they don’t."
positive,1.0,@JetBlue you're still the best,you're still the best
negative,1.0,"@USAirways: I relied on US Airways, and that was my mistake. Awful customer experience.",": I relied on US Airways, and that was my mistake. Awful customer experience."
negative,0.667,@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?
negative,1.0,@united an over booked flight to start with and a red eye from lax to bos with no reclining seat.... #lastflightwithyouever,an over booked flight to start with and a red eye from lax to bos with no reclining seat.... #lastflightwithyouever
positive,1.0,"@AmericanAir LTALJX, from DCA to OMA this morning. All of the staff that helped me fix my problem were so helpful. #goodthingscome #thanks","LTALJX, from DCA to OMA this morning. All of the staff that helped me fix my problem were so helpful. #goodthingscome #thanks"
negative,0.6854,@united just filled it out. Hope someone responds before we book our next trip.,just filled it out. Hope someone responds before we book our next trip.
neutral,1.0,@SouthwestAir traditionally used sledge hammer - low $ taking share from driving | now scalpel approach through data science  #ANAmarketers,traditionally used sledge hammer - low $ taking share from driving | now scalpel approach through data science #ANAmarketers
positive,1.0,@SouthwestAir thanks for the info and the quick response!,thanks for the info and the quick response!
negative,1.0,"@AmericanAir that would be appreciated. Just please don't send me to the same page with long form &amp; limited characters.
Direct email?",that would be appreciated. Just please don't send me to the same page with long form & limited characters. Direct email?
positive,1.0,@united @reebok @rockinwellness @ Denver International Airport https://t.co/tKVmHBkeC3,@ Denver International Airport
negative,0.6421,"@united I appreciate the immediate offer, but suspect it is more long-term issue/not simple fix. Also, ski/bootbag policy is awkward at best","I appreciate the immediate offer, but suspect it is more long-term issue/not simple fix. Also, ski/bootbag policy is awkward at best"
negative,1.0,"@JetBlue flt1533 to Carta what is goin on?! 1st told plane coming from hangar, then gate change, now no one knows wat plane we're getting on","flt1533 to Carta what is goin on?! 1st told plane coming from hangar, then gate change, now no one knows wat plane we're getting on"
negative,1.0,@united should contact me and the others on my flight who can't get their website to work. None of our info is valid! http://t.co/3zpJr7kWbk,should contact me and the others on my flight who can't get their website to work. None of our info is valid!
neutral,0.6627,"@SouthwestAir my father was kind enough to offer to pay for a hotel, but I can't use this coupon if he pays from FL. no help?","my father was kind enough to offer to pay for a hotel, but I can't use this coupon if he pays from FL. no help?"
negative,0.662,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
negative,1.0,@AmericanAir ahhhh your silence is golden now.  This tops it all.  Anyone get fired?,ahhhh your silence is golden now. This tops it all. Anyone get fired?
negative,1.0,@united FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS,FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS
positive,1.0,"@JetBlue Very excited, for the first time this Sunday, March 1 I get to fly #JetBlue flight 123 #Mint from JFK. Looking forward :-)","Very excited, for the first time this Sunday, March 1 I get to fly #JetBlue flight 123 #Mint from JFK. Looking forward :-)"
positive,1.0,@united thank you. I flew into Newark from Vail/Eagle.,thank you. I flew into Newark from Vail/Eagle.
neutral,1.0,@AmericanAir what is the status of flight 1675 tomorrow,what is the status of flight 1675 tomorrow
neutral,1.0,@SouthwestAir https://t.co/OQUKSo3s2O subscribe please https://t.co/OQUKSo3s2O,subscribe please
neutral,1.0,@JetBlue flight 705. EWR to FLL,flight 705. EWR to FLL
negative,1.0,@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!,I've been on hold with customer service for over an hour. Can you help?!
negative,1.0,@united says @USAirways  is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im  sorry. I want my clothes!!,says is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im sorry. I want my clothes!!
neutral,1.0,@JetBlue  Alright I hope. My JetBlue app is showing a change in my seats and online shows an a320.  Don't want any surprises,Alright I hope. My JetBlue app is showing a change in my seats and online shows an a320. Don't want any surprises
neutral,1.0,"@JetBlue No, it's weird!! I picked other cities just to test, those worked...not the one I want. Works on phone though, so I'll use that.","No, it's weird!! I picked other cities just to test, those worked...not the one I want. Works on phone though, so I'll use that."
neutral,1.0,@JetBlue Can I bring a compact folding chair like this in a checked bag? http://t.co/9nivw9ftZw,Can I bring a compact folding chair like this in a checked bag?
negative,1.0,"@JetBlue appreciate what you've done on your end to make this right, but still unhappy with initial incident. Will be calling.","appreciate what you've done on your end to make this right, but still unhappy with initial incident. Will be calling."
positive,0.663,Is expiring the @united offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year http://t.co/6tz6imqZlG,Is expiring the offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year
negative,1.0,@JetBlue - trying to fly from BOS to JFK. Flight delayed. Traveling with kids. Book a hotel or are we getting out tonight?,- trying to fly from BOS to JFK. Flight delayed. Traveling with kids. Book a hotel or are we getting out tonight?
negative,0.657,@AmericanAir ok makes no sense tho Since you'll give me a free upgrade to first.,ok makes no sense tho Since you'll give me a free upgrade to first.
neutral,1.0,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE,Atlantic ploughs a lone furrow in the #MiddleEast
neutral,1.0,@united can you please tell me where United flies to from Sydney Australia - pref Asia Pac or US as I have a voucher to redeem.,can you please tell me where United flies to from Sydney Australia - pref Asia Pac or US as I have a voucher to redeem.
neutral,1.0,His name is Enzo 😊 RT @JetBlue : @Setorii Well hello there pooch! What's your name? #dog http://t.co/dLh9138HBg,His name is Enzo 😊 RT : Well hello there pooch! What's your name? #dog
negative,1.0,"@AmericanAir Cancelled Flights my flight, doesn't send an email, text or call. Now I'm stranded in Louisville.","Cancelled Flights my flight, doesn't send an email, text or call. Now I'm stranded in Louisville."
negative,0.6465,@JetBlue bag is supposedly here in Boston,bag is supposedly here in Boston
positive,1.0,Thank you “@united: @TRUU_Tall I can certainly take a look. Please follow and DM me your confirmation number for assistance. ^JH”,Thank you “: I can certainly take a look. Please follow and DM me your confirmation number for assistance. ^JH”
negative,1.0,@united the drunk guy you threw out of flight UA936 4hrs ago is better off than the rest of us held up for 5hrs in the plane without food.,the drunk guy you threw out of flight UA936 4hrs ago is better off than the rest of us held up for 5hrs in the plane without food.
negative,0.7102,Why? 😒 RT @JetBlue Our fleet's on fleek. http://t.co/I7Ut2ZvHCO,Why? 😒 RT Our fleet's on fleek.
neutral,1.0,@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,posts second consecutive full-year net profit -
negative,1.0,@united Flight 2 is 2:30 hrs delayed so far b/c of Late Flight crew. Now we are literally waiting while they have dinner acc. to honest gate agent.,Flight 2 is 2:30 hrs delayed so far b/c of Late Flight crew. Now we are literally waiting while they have dinner acc. to honest gate agent.
negative,1.0,@AmericanAir that luggage you forgot...#mia.....he just won an oscar😄💝💝💝,that luggage you forgot...#mia.....he just won an oscar😄💝💝💝
positive,0.6667,@JetBlue I'm #MakingLoveOutofNothingAtAll on my #brandloveaffair to #LAX https://t.co/kdHRUF54sW,I'm #MakingLoveOutofNothingAtAll on my #brandloveaffair to #LAX
negative,1.0,@USAirways @TheHaileyTate Another blatant lie from @USAirways,Another blatant lie from
negative,1.0,"@AmericanAir seems like queue times are very high, in Q waiting for an agent 4 almost  an hour.Flight got Cancelled Flightled. http://t.co/sDm2wvR3zr","seems like queue times are very high, in Q waiting for an agent 4 almost an hour.Flight got Cancelled Flightled."
negative,1.0,@USAirways Not only did u lose the flight plan! Now ur flight crew is FAA timed out! Thx for havin us sit on the tarmac for an hr! #Pathetic,Not only did u lose the flight plan! Now ur flight crew is FAA timed out! Thx for havin us sit on the tarmac for an hr! #Pathetic
neutral,0.656,"@united can I get on a stand by list from ASE to ORD? I'm the only poor person in Aspen, that's why I'm asking for standby on twitter.","can I get on a stand by list from ASE to ORD? I'm the only poor person in Aspen, that's why I'm asking for standby on twitter."
positive,0.6748,@SouthwestAir Thanks.,Thanks.
negative,0.6701,"@SouthwestAir There is no option just to Cancelled Flight? I don't want to change flight, I want to Cancelled Flight.","There is no option just to Cancelled Flight? I don't want to change flight, I want to Cancelled Flight."
negative,1.0,"@united still missing my luggage, was promised someone would call, no call so far, flight from Shanghai to DC with connecting flight in ORD","still missing my luggage, was promised someone would call, no call so far, flight from Shanghai to DC with connecting flight in ORD"
negative,1.0,@USAirways I was completely ripped of by US Airways today never fly this airline  I am contacting my local news,I was completely ripped of by US Airways today never fly this airline I am contacting my local news
negative,1.0,"@SouthwestAir where are our bags?
We have a tv show to film!!",where are our bags? We have a tv show to film!!
negative,1.0,"@USAirways @united two broken airplanes, two days Late Flightr and I'm stranded after a funeral and missing out on my last semester of #college. 👍","two broken airplanes, two days Late Flightr and I'm stranded after a funeral and missing out on my last semester of #college. 👍"
neutral,0.6421,@USAirways any plans to support #ApplePay on board? I have the USAirways MC and it would be nice to still use it if I forget the card.,any plans to support #ApplePay on board? I have the USAirways MC and it would be nice to still use it if I forget the card.
negative,1.0,@AmericanAir employees are racist!!!!!,employees are racist!!!!!
negative,0.6667,@USAirways My flight cost me just under $800 and this is what happens? I fly with @united and have no problems. I come the US 4-5 times...,My flight cost me just under $800 and this is what happens? I fly with and have no problems. I come the US 4-5 times...
neutral,1.0,@united still waiting for a response on whether or not you allow use of a rear facing car seat on an ERJ145.,still waiting for a response on whether or not you allow use of a rear facing car seat on an ERJ145.
negative,1.0,@SouthwestAir oh look you just delayed our flight an additional half hour now arriving at 6 officially five hours after planned. 😡😡😡😡😤😤😤,oh look you just delayed our flight an additional half hour now arriving at 6 officially five hours after planned. 😡😡😡😡😤😤😤
negative,1.0,"@USAirways delayed 2.5 hours @longbeachairport trying to get to @PHXSkyHarbor; give us an update, please???","delayed 2.5 hours trying to get to ; give us an update, please???"
neutral,0.6492,@JetBlue Thank you.,Thank you.
positive,0.6771,@jetblue thanks,thanks
negative,1.0,@USAirways - I wouldn't need to wait on hold for 6+ hours if your website worked correctly - please respond!,- I wouldn't need to wait on hold for 6+ hours if your website worked correctly - please respond!
negative,1.0,@SouthwestAir I was trying to find airfare for my family.  Your prices are ridiculous!  Almost $1000 more than @USAirways. #notmadeofmoney,I was trying to find airfare for my family. Your prices are ridiculous! Almost $1000 more than . #notmadeofmoney
negative,1.0,@AmericanAir yes there's issues on the site as well unfortunately.,yes there's issues on the site as well unfortunately.
negative,1.0,"@USAirways @nburnside26  U hate delays, too?  But u have her $$ &amp; are holding her hostage!  #GoingForGreatnessFAIL","U hate delays, too? But u have her $$ & are holding her hostage! #GoingForGreatnessFAIL"
negative,1.0,"@united what you did was illegal and a breach of contract. I will be in touch but not through your ""customer feedback""","what you did was illegal and a breach of contract. I will be in touch but not through your ""customer feedback"""
negative,0.663,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw
positive,1.0,@JetBlue thank you for getting me home. And despite all odds I have reunited with my delinquent Southwest luggage. Now homeward,thank you for getting me home. And despite all odds I have reunited with my delinquent Southwest luggage. Now homeward
positive,0.7012,@JetBlue sooo earlier i said i couldnt fly with you for my school trip but now i can! 😏,sooo earlier i said i couldnt fly with you for my school trip but now i can! 😏
neutral,0.6667,"@JetBlue i'm getting info from the website, but needing to check it and the alerts would be much more beneficial.","i'm getting info from the website, but needing to check it and the alerts would be much more beneficial."
negative,1.0,@united sat at airport for 5 hrs still sitting at gate..  Sigh,sat at airport for 5 hrs still sitting at gate.. Sigh
neutral,0.6906,"@AmericanAir I sent you a DM, can you please help.","I sent you a DM, can you please help."
negative,1.0,@USAirways strikes again...lost bags. And two of them. #theworst,strikes again...lost bags. And two of them. #theworst
neutral,1.0,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu","Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily"
negative,0.6927,"@USAirways I fly quite a bit, and it's not difficult to communicate. If agents let people know what's happening, arrangements can be made","I fly quite a bit, and it's not difficult to communicate. If agents let people know what's happening, arrangements can be made"
negative,1.0,@AmericanAir westjet and your rep won't do anything about my lost luggage- which I never even checked with westjet because it was lost in,westjet and your rep won't do anything about my lost luggage- which I never even checked with westjet because it was lost in
negative,1.0,@USAirways Thanks for Cancelled Flighting my flight tomorrow and not reFlight Booking Problems me on another one. #usairwaysfail,Thanks for Cancelled Flighting my flight tomorrow and not reFlight Booking Problems me on another one. #usairwaysfail
positive,1.0,@USAirways thank you!!,thank you!!
negative,1.0,@united landed at 9:40pm and have been standing waiting for bags that were loaded plane side..why isn't the crew here#tiredcustomer,landed at 9:40pm and have been standing waiting for bags that were loaded plane side..why isn't the crew here#tiredcustomer
negative,0.3437,"@SouthwestAir thank you : 8UXZJ2
Paid for early bird and sat in back",thank you : 8UXZJ2 Paid for early bird and sat in back
negative,1.0,“@united: @rikrik__ What made you come to this? Can we help you with anything? ^JP” the service just hasn't been great.,“: What made you come to this? Can we help you with anything? ^JP” the service just hasn't been great.
negative,1.0,"@united the hotel you sent us to wouldnt take the voucher. Our flight was delayed, then Cancelled Flightled, then delayed again. 32 hours and counting","the hotel you sent us to wouldnt take the voucher. Our flight was delayed, then Cancelled Flightled, then delayed again. 32 hours and counting"
negative,1.0,@united that link is not helpful as it does not put me In touch with management,that link is not helpful as it does not put me In touch with management
negative,1.0,@JetBlue U say our safety is our highest priority but that doesn't extend 2 our property? This is totally nuts. http://t.co/xZY7pHKFGR,U say our safety is our highest priority but that doesn't extend 2 our property? This is totally nuts.
negative,1.0,@JetBlue u suck Big Donkey Balls!,u suck Big Donkey Balls!
positive,1.0,@USAirways Shout out to the red-headed gate agent for flt 3389 from DCA to CHS at 7:10 tonight. Didn't get her name but she was great!,Shout out to the red-headed gate agent for flt 3389 from DCA to CHS at 7:10 tonight. Didn't get her name but she was great!
negative,1.0,"@united. Please get me an economy plus seat. Awful day of 2 Cancelled Flighted flights, after lots of planning.",". Please get me an economy plus seat. Awful day of 2 Cancelled Flighted flights, after lots of planning."
neutral,0.6511,@united hey I left my favorite blanket on the plane bring it back home to me:-(,hey I left my favorite blanket on the plane bring it back home to me:-(
negative,1.0,"@AmericanAir @JimDayTV no, you couldn't care less. That's why their customer service is run by bots","no, you couldn't care less. That's why their customer service is run by bots"
negative,1.0,"@united It was Cancelled Flightled, none of the passengers were notified. Complete violation of travelers' rights.  @AerocivilCol","It was Cancelled Flightled, none of the passengers were notified. Complete violation of travelers' rights."
negative,1.0,"@united yes, computer would allow me to get to San Diego quick but customer service will not help.  Says can't rebook http://t.co/KcVUbUYExc","yes, computer would allow me to get to San Diego quick but customer service will not help. Says can't rebook"
negative,1.0,@USAirways pretty sure we didn't actually take off at 7:10 http://t.co/vuxf4r4Unu,pretty sure we didn't actually take off at 7:10
negative,1.0,@united Ugh.  My bags were sent to Palm Springs and not to LAX as promised.  They better be at the hotel when I get there.,Ugh. My bags were sent to Palm Springs and not to LAX as promised. They better be at the hotel when I get there.
negative,1.0,@united 2nd time in a row  I've been over charged by 100's of $$ on my plane ticket WHY? #united I shouldn't have to check my CC everytime,2nd time in a row I've been over charged by 100's of $$ on my plane ticket WHY? #united I shouldn't have to check my CC everytime
negative,0.6309,@united flying tomorrow from mexico to US. Mileage tkts dont show 1k status. Help,flying tomorrow from mexico to US. Mileage tkts dont show 1k status. Help
neutral,1.0,@JetBlue selfie on the flight 83 from #JFK to #Orlando . With @Supertzar85 http://t.co/QRANZImHTr,selfie on the flight 83 from #JFK to #Orlando . With
negative,1.0,"@USAirways @ClaudOakeshott don't need this link, after getting a person u now say u don't know where bags are. Lost on a nonstop phx to jfk.","don't need this link, after getting a person u now say u don't know where bags are. Lost on a nonstop phx to jfk."
negative,1.0,@USAirways Youre batting .1000. Every flight Ive taken is delayed. Worst airline. ever.,Youre batting .1000. Every flight Ive taken is delayed. Worst airline. ever.
negative,1.0,@united is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy,is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy
positive,1.0,@USAirways on a happy note our 719 crew is wonderful. Can't say enough great things about our pilot. He's doing all he can for us.,on a happy note our 719 crew is wonderful. Can't say enough great things about our pilot. He's doing all he can for us.
negative,1.0,@united On flight 1712 to Houston delayed duecto engine trouble. Willl you hold my connection to Argentina at Houston since I'm Late Flight now?,On flight 1712 to Houston delayed duecto engine trouble. Willl you hold my connection to Argentina at Houston since I'm Late Flight now?
negative,1.0,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!,#worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!
negative,1.0,@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?,if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?
negative,1.0,@SouthwestAir why are you literally the worst?,why are you literally the worst?
negative,1.0,@USAirways who do we voice our concerns to when we can't get home with our 8 month old after waiting to taxi to a gate for 3 hours?,who do we voice our concerns to when we can't get home with our 8 month old after waiting to taxi to a gate for 3 hours?
neutral,1.0,@SouthwestAir When does PV get approved? I am ready to go!!,When does PV get approved? I am ready to go!!
neutral,1.0,"@AmericanAir oh I will, AA on speed dial","oh I will, AA on speed dial"
negative,1.0,"@AmericanAir just Cancelled Flightled my 7 am flight tomorrow with out informing me at all today, then booked one in 2 days, and no customer service","just Cancelled Flightled my 7 am flight tomorrow with out informing me at all today, then booked one in 2 days, and no customer service"
neutral,0.6714,@USAirways good ideas...she is traveling today...at airport.  Need to petition faa regarding silly 24 name change rule.,good ideas...she is traveling today...at airport. Need to petition faa regarding silly 24 name change rule.
negative,1.0,@USAirways my phone has been on hold since midght  fkn 7 hrs of hold ?? Unacceptable!!!!!!!!,my phone has been on hold since midght fkn 7 hrs of hold ?? Unacceptable!!!!!!!!
neutral,1.0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,trying to add my boy Prince to my ressie. SF this Thursday from LAX
negative,1.0,"Is it insulting that @USAirways @AmericanAir offer a ""non required $50 voucher as a goodwill offering..At least my bag can fly round trip","Is it insulting that offer a ""non required $50 voucher as a goodwill offering..At least my bag can fly round trip"
negative,1.0,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service,So I can buy tix 3 days before flight but can't transfer the tix. Flawed security logic. Flawed customer service
neutral,1.0,@united please arrange someone at the arriving gate of flight 5957 to Chicago for either a refund or first class upgrade,please arrange someone at the arriving gate of flight 5957 to Chicago for either a refund or first class upgrade
negative,1.0,@AmericanAir there's a direct from Miami w a seat but u rebooked niece Tuesday. Can't get through on phones? #customerservicefail,there's a direct from Miami w a seat but u rebooked niece Tuesday. Can't get through on phones? #customerservicefail
negative,0.924,"@AmericanAir Okay, I think 1565 has waited long enough for a gate at DFW...","Okay, I think 1565 has waited long enough for a gate at DFW..."
negative,0.6629,@united spoke to someone on your feedback line last night who said she would get me a preferred choice seat for today...,spoke to someone on your feedback line last night who said she would get me a preferred choice seat for today...
negative,1.0,@JetBlue I thought being a mosaic member had 'perks' the best part is instead of checking the extra 5lbs I'm carrying it on 😒,I thought being a mosaic member had 'perks' the best part is instead of checking the extra 5lbs I'm carrying it on 😒
negative,1.0,"@united worst AIRLINE 
BEWARE THEY DO NOT MAINTAIN THERE PLAIN 
BEEN ON THE RUNWAY THE PAST 4 HOURS!!!/",worst AIRLINE BEWARE THEY DO NOT MAINTAIN THERE PLAIN BEEN ON THE RUNWAY THE PAST 4 HOURS!!!/
positive,0.6429,@JetBlue to offer service from Daytona Beach to New York - Albany Business Review http://t.co/dUhBJ41jHx,to offer service from Daytona Beach to New York - Albany Business Review
positive,1.0,@JetBlue its always a pleasure ☺️,its always a pleasure ☺️
negative,1.0,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,I have just checked in flight to SFO from LAX & been told as Atlantic Flying Club Gold I get no benefits?!
negative,1.0,@united Flight 6212...massive fail! They delaying to transport a crew member causing many to miss connections! Unreal!,Flight 6212...massive fail! They delaying to transport a crew member causing many to miss connections! Unreal!
negative,1.0,@SouthwestAir Flight 4110 MCO to ISP delayed. Any details on why?,Flight 4110 MCO to ISP delayed. Any details on why?
negative,1.0,@SouthwestAir we can let #bags flutter because we charge travelers that had to change dates #fullprice and we don't let them travel,we can let #bags flutter because we charge travelers that had to change dates #fullprice and we don't let them travel
negative,0.6978,"@AmericanAir $600 Late Flightr, 2 complete itinerary changes, and lost work and time, but yeah ""I"" got it rebooked","$600 Late Flightr, 2 complete itinerary changes, and lost work and time, but yeah ""I"" got it rebooked"
negative,1.0,@USAirways I finally got through on the phone after a 2 hour wait time.,I finally got through on the phone after a 2 hour wait time.
negative,0.6545,@United Personal Device Entertainment system is great but with app crashing every 10/15 mins I'm glad it's free for now.,Personal Device Entertainment system is great but with app crashing every 10/15 mins I'm glad it's free for now.
negative,1.0,@united I'm DMing my info and no is assisting. My flight home left before m first flight had even landed,I'm DMing my info and no is assisting. My flight home left before m first flight had even landed
neutral,0.67,@JetBlue I'm looking every day just watching for a deal. I have specific dates so fare finder doesn't help me,I'm looking every day just watching for a deal. I have specific dates so fare finder doesn't help me
neutral,1.0,@AmericanAir When did they start to sell water @AdmiralsClub ?,When did they start to sell water ?
negative,1.0,@united Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief,Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief
