airline_sentiment,sentiment_confidence,text,clean_text
neutral,1.0,@united can you please tell me where United flies to from Sydney Australia - pref Asia Pac or US as I have a voucher to redeem.,please tell united fly sydney australia pref asia pac u voucher redeem
neutral,1.0,His name is Enzo 😊 RT @JetBlue : @Setorii Well hello there pooch! What's your name? #dog http://t.co/dLh9138HBg,name enzo smiling_face_with_smiling_eyes rt well hello pooch ! name ? dog
negative,1.0,"@AmericanAir Cancelled Flights my flight, doesn't send an email, text or call. Now I'm stranded in Louisville.",cancel flight flight does_not_send email text call strand louisville
negative,0.6465,@JetBlue bag is supposedly here in Boston,bag supposedly boston
positive,1.0,Thank you “@united: @TRUU_Tall I can certainly take a look. Please follow and DM me your confirmation number for assistance. ^JH”,thank certainly take look please follow dm confirmation number assistance jh
negative,1.0,@united the drunk guy you threw out of flight UA936 4hrs ago is better off than the rest of us held up for 5hrs in the plane without food.,drunk guy throw out flight ua hr ago better off rest u hold up hrs plane without food
negative,0.7102,Why? 😒 RT @JetBlue Our fleet's on fleek. http://t.co/I7Ut2ZvHCO,? unamused_face rt fleet fleek
neutral,1.0,@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,post second consecutive full year net profit
negative,1.0,@united Flight 2 is 2:30 hrs delayed so far b/c of Late Flight crew. Now we are literally waiting while they have dinner acc. to honest gate agent.,flight hr delay so far b c late flight crew literally wait dinner acc honest gate agent
negative,1.0,@AmericanAir that luggage you forgot...#mia.....he just won an oscar😄💝💝💝,luggage forget mia oscar grinning_face_with_smiling_eyes heart_with_ribbon heart_with_ribbon heart_with_ribbon
positive,0.6667,@JetBlue I'm #MakingLoveOutofNothingAtAll on my #brandloveaffair to #LAX https://t.co/kdHRUF54sW,makingloveoutofnothingatall brandloveaffair lax
negative,1.0,@USAirways @TheHaileyTate Another blatant lie from @USAirways,another blatant lie
negative,1.0,"@AmericanAir seems like queue times are very high, in Q waiting for an agent 4 almost  an hour.Flight got Cancelled Flightled. http://t.co/sDm2wvR3zr",seem like queue time very high q wait agent almost hour flight get cancel flightled
negative,1.0,@USAirways Not only did u lose the flight plan! Now ur flight crew is FAA timed out! Thx for havin us sit on the tarmac for an hr! #Pathetic,not_only lose flight plan ! flight crew faa time out ! thanks havin u sit tarmac hr ! pathetic
neutral,0.656,"@united can I get on a stand by list from ASE to ORD? I'm the only poor person in Aspen, that's why I'm asking for standby on twitter.",get stand list ase ord ? poor person aspen ask standby twitter
positive,0.6748,@SouthwestAir Thanks.,thanks
negative,0.6701,"@SouthwestAir There is no option just to Cancelled Flight? I don't want to change flight, I want to Cancelled Flight.",no_option cancel flight ? do_not_want change flight want cancel flight
negative,1.0,"@united still missing my luggage, was promised someone would call, no call so far, flight from Shanghai to DC with connecting flight in ORD",still miss luggage promise someone would call no_call so far flight shanghai dc connect flight ord
negative,1.0,@USAirways I was completely ripped of by US Airways today never fly this airline  I am contacting my local news,completely rip u airway today never_fly airline contact local news
negative,1.0,"@SouthwestAir where are our bags?
We have a tv show to film!!",bag ? tv show film ! !
negative,1.0,"@USAirways @united two broken airplanes, two days Late Flightr and I'm stranded after a funeral and missing out on my last semester of #college. 👍",two broken airplane two day late flightr strand funeral miss out last semester college thumbs_up
neutral,0.6421,@USAirways any plans to support #ApplePay on board? I have the USAirways MC and it would be nice to still use it if I forget the card.,plan support applepay board ? usairways mc would nice still use forget card
negative,1.0,@AmericanAir employees are racist!!!!!,employee racist ! ! ! ! !
negative,0.6667,@USAirways My flight cost me just under $800 and this is what happens? I fly with @united and have no problems. I come the US 4-5 times...,flight cost happens ? fly no_problems come u time
neutral,1.0,@united still waiting for a response on whether or not you allow use of a rear facing car seat on an ERJ145.,still wait response whether not_you allow use rear face car seat erj
negative,1.0,@SouthwestAir oh look you just delayed our flight an additional half hour now arriving at 6 officially five hours after planned. 😡😡😡😡😤😤😤,oh look delay flight additional half hour arrive officially five hour plan enraged_face enraged_face enraged_face enraged_face face_with_steam_from_nose face_with_steam_from_nose face_with_steam_from_nose
negative,1.0,"@USAirways delayed 2.5 hours @longbeachairport trying to get to @PHXSkyHarbor; give us an update, please???",delay hour try get give u update please ? ? ?
neutral,0.6492,@JetBlue Thank you.,thank
positive,0.6771,@jetblue thanks,thanks
negative,1.0,@USAirways - I wouldn't need to wait on hold for 6+ hours if your website worked correctly - please respond!,would_not_need wait hold hour website work correctly please respond !
negative,1.0,@SouthwestAir I was trying to find airfare for my family.  Your prices are ridiculous!  Almost $1000 more than @USAirways. #notmadeofmoney,try find airfare family price ridiculous ! almost notmadeofmoney
negative,1.0,@AmericanAir yes there's issues on the site as well unfortunately.,yes issue site well unfortunately
negative,1.0,"@USAirways @nburnside26  U hate delays, too?  But u have her $$ &amp; are holding her hostage!  #GoingForGreatnessFAIL",hate delay too ? amp hold hostage ! goingforgreatnessfail
negative,1.0,"@united what you did was illegal and a breach of contract. I will be in touch but not through your ""customer feedback""",illegal breach contract touch not_through customer feedback
negative,0.663,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,no_i do_not_spoke baggage contact number say try get bag stay iad pick up tomorrow
positive,1.0,@JetBlue thank you for getting me home. And despite all odds I have reunited with my delinquent Southwest luggage. Now homeward,thank get home despite odds reunite delinquent southwest luggage homeward
positive,0.7012,@JetBlue sooo earlier i said i couldnt fly with you for my school trip but now i can! 😏,sooo earlier say could_not_fly school trip ! smirking_face
neutral,0.6667,"@JetBlue i'm getting info from the website, but needing to check it and the alerts would be much more beneficial.",get info website need check alert would much beneficial
negative,1.0,@united sat at airport for 5 hrs still sitting at gate..  Sigh,sat airport hr still sit gate sigh
neutral,0.6906,"@AmericanAir I sent you a DM, can you please help.",sent dm please help
negative,1.0,@USAirways strikes again...lost bags. And two of them. #theworst,strike lose bag two theworst
neutral,1.0,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",beat eps view take southwestair va love investor business daily
negative,0.6927,"@USAirways I fly quite a bit, and it's not difficult to communicate. If agents let people know what's happening, arrangements can be made",fly quite bit is_not_difficult communicate agent let people know happen arrangement make
negative,1.0,@AmericanAir westjet and your rep won't do anything about my lost luggage- which I never even checked with westjet because it was lost in,westjet rep will_not_do anything lose luggage never_even check westjet lost
negative,1.0,@USAirways Thanks for Cancelled Flighting my flight tomorrow and not reFlight Booking Problems me on another one. #usairwaysfail,thanks cancel flight flight tomorrow not_reflight book problem another one usairwaysfail
positive,1.0,@USAirways thank you!!,thank ! !
negative,1.0,@united landed at 9:40pm and have been standing waiting for bags that were loaded plane side..why isn't the crew here#tiredcustomer,land pm stand wait bag load plane side is_not_the crew tiredcustomer
negative,0.3437,"@SouthwestAir thank you : 8UXZJ2
Paid for early bird and sat in back",thank uxzj pay early bird sit back
negative,1.0,“@united: @rikrik__ What made you come to this? Can we help you with anything? ^JP” the service just hasn't been great.,make come ? help anything ? jp service has_not_been great
negative,1.0,"@united the hotel you sent us to wouldnt take the voucher. Our flight was delayed, then Cancelled Flightled, then delayed again. 32 hours and counting",hotel send u would_not_take voucher flight delay cancel flightled delayed hour count
negative,1.0,@united that link is not helpful as it does not put me In touch with management,link is_not_helpful does_not_put touch management
negative,1.0,@JetBlue U say our safety is our highest priority but that doesn't extend 2 our property? This is totally nuts. http://t.co/xZY7pHKFGR,say safety highest priority does_not_extend property ? totally nut
negative,1.0,@JetBlue u suck Big Donkey Balls!,suck big donkey ball !
positive,1.0,@USAirways Shout out to the red-headed gate agent for flt 3389 from DCA to CHS at 7:10 tonight. Didn't get her name but she was great!,shout out red headed gate agent flt dca chs tonight did_not_get name great !
negative,1.0,"@united. Please get me an economy plus seat. Awful day of 2 Cancelled Flighted flights, after lots of planning.",please get economy plus seat awful day cancel flighted flight lot plan
neutral,0.6511,@united hey I left my favorite blanket on the plane bring it back home to me:-(,hey leave favorite blanket plane bring back home
negative,1.0,"@AmericanAir @JimDayTV no, you couldn't care less. That's why their customer service is run by bots",no_you could_not_care less customer service run bot
negative,1.0,"@united It was Cancelled Flightled, none of the passengers were notified. Complete violation of travelers' rights.  @AerocivilCol",cancel flightled none passenger notify complete violation traveler right
negative,1.0,"@united yes, computer would allow me to get to San Diego quick but customer service will not help.  Says can't rebook http://t.co/KcVUbUYExc",yes computer would allow get san diego quick customer service will_not_help say cannot_rebook
negative,1.0,@USAirways pretty sure we didn't actually take off at 7:10 http://t.co/vuxf4r4Unu,pretty sure did_not_actually take off
negative,1.0,@united Ugh.  My bags were sent to Palm Springs and not to LAX as promised.  They better be at the hotel when I get there.,ugh bag send palm spring not_to lax promise better hotel get
negative,1.0,@united 2nd time in a row  I've been over charged by 100's of $$ on my plane ticket WHY? #united I shouldn't have to check my CC everytime,nd time row over charge plane ticket ? united should_not_have check cc everytime
negative,0.6309,@united flying tomorrow from mexico to US. Mileage tkts dont show 1k status. Help,fly tomorrow mexico u mileage tkts do_not_show k status help
neutral,1.0,@JetBlue selfie on the flight 83 from #JFK to #Orlando . With @Supertzar85 http://t.co/QRANZImHTr,selfie flight jfk orlando
negative,1.0,"@USAirways @ClaudOakeshott don't need this link, after getting a person u now say u don't know where bags are. Lost on a nonstop phx to jfk.",do_not_need link get person say do_not_know bag lose nonstop phx jfk
negative,1.0,@USAirways Youre batting .1000. Every flight Ive taken is delayed. Worst airline. ever.,bat every flight take delayed worst airline ever
negative,1.0,@united is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy,stingiest airline nobody model ptfo cheap bastard stingy
positive,1.0,@USAirways on a happy note our 719 crew is wonderful. Can't say enough great things about our pilot. He's doing all he can for us.,happy note crew wonderful cannot_say enough great thing pilot u
negative,1.0,@united On flight 1712 to Houston delayed duecto engine trouble. Willl you hold my connection to Argentina at Houston since I'm Late Flight now?,flight houston delay duecto engine trouble willl hold connection argentina houston since late flight ?
negative,1.0,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!,worst unitedflightsever ua iad la mechanical problem switch aircraft delay hour !
negative,1.0,@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?,pay luggage deliver arrive wait additional day delivery ?
negative,1.0,@SouthwestAir why are you literally the worst?,literally worst ?
negative,1.0,@USAirways who do we voice our concerns to when we can't get home with our 8 month old after waiting to taxi to a gate for 3 hours?,voice concern cannot_get home month old wait taxi gate hour ?
neutral,1.0,@SouthwestAir When does PV get approved? I am ready to go!!,pv get approve ? ready go ! !
neutral,1.0,"@AmericanAir oh I will, AA on speed dial",oh aa speed dial
negative,1.0,"@AmericanAir just Cancelled Flightled my 7 am flight tomorrow with out informing me at all today, then booked one in 2 days, and no customer service",cancel flightled flight tomorrow out inform today book one day no_customer service
neutral,0.6714,@USAirways good ideas...she is traveling today...at airport.  Need to petition faa regarding silly 24 name change rule.,good idea travel today airport need petition faa regard silly name change rule
negative,1.0,@USAirways my phone has been on hold since midght  fkn 7 hrs of hold ?? Unacceptable!!!!!!!!,phone hold since midght fkn hr hold ? ? unacceptable ! ! ! ! ! ! ! !
neutral,1.0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,try add boy prince ressie sf thursday lax
negative,1.0,"Is it insulting that @USAirways @AmericanAir offer a ""non required $50 voucher as a goodwill offering..At least my bag can fly round trip",insult offer non require voucher goodwill offer least bag fly round trip
negative,1.0,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service,so buy tix day flight cannot_transfer tix flaw security logic flaw customer service
neutral,1.0,@united please arrange someone at the arriving gate of flight 5957 to Chicago for either a refund or first class upgrade,please arrange someone arrive gate flight chicago either refund first class upgrade
negative,1.0,@AmericanAir there's a direct from Miami w a seat but u rebooked niece Tuesday. Can't get through on phones? #customerservicefail,direct miami w seat rebooked niece tuesday cannot_get phone ? customerservicefail
negative,0.924,"@AmericanAir Okay, I think 1565 has waited long enough for a gate at DFW...",okay think wait long enough gate dfw
negative,0.6629,@united spoke to someone on your feedback line last night who said she would get me a preferred choice seat for today...,speak someone feedback line last night say would get preferred choice seat today
negative,1.0,@JetBlue I thought being a mosaic member had 'perks' the best part is instead of checking the extra 5lbs I'm carrying it on 😒,think mosaic member perk best part instead check extra lb carry unamused_face
negative,1.0,"@united worst AIRLINE 
BEWARE THEY DO NOT MAINTAIN THERE PLAIN 
BEEN ON THE RUNWAY THE PAST 4 HOURS!!!/",worst airline beware do_not_maintain plain runway past hour ! ! !
positive,0.6429,@JetBlue to offer service from Daytona Beach to New York - Albany Business Review http://t.co/dUhBJ41jHx,offer service daytona beach new york albany business review
positive,1.0,@JetBlue its always a pleasure ☺️,always pleasure smiling_face
negative,1.0,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,checked flight sfo lax amp tell atlantic fly club gold get no_benefits ? !
negative,1.0,@united Flight 6212...massive fail! They delaying to transport a crew member causing many to miss connections! Unreal!,flight massive fail ! delay transport crew member cause many miss connection ! unreal !
negative,1.0,@SouthwestAir Flight 4110 MCO to ISP delayed. Any details on why?,flight mco isp delay detail ?
negative,1.0,@SouthwestAir we can let #bags flutter because we charge travelers that had to change dates #fullprice and we don't let them travel,let bag flutter charge traveler change date fullprice do_not_let travel
negative,0.6978,"@AmericanAir $600 Late Flightr, 2 complete itinerary changes, and lost work and time, but yeah ""I"" got it rebooked",late flightr complete itinerary change lose work time yeah get rebooked
negative,1.0,@USAirways I finally got through on the phone after a 2 hour wait time.,finally get phone hour wait time
negative,0.6545,@United Personal Device Entertainment system is great but with app crashing every 10/15 mins I'm glad it's free for now.,personal device entertainment system great app crash every min glad free
negative,1.0,@united I'm DMing my info and no is assisting. My flight home left before m first flight had even landed,dming info no_is assist flight home leave first flight even land
neutral,0.67,@JetBlue I'm looking every day just watching for a deal. I have specific dates so fare finder doesn't help me,look every day watch deal specific date so fare finder does_not_help
neutral,1.0,@AmericanAir When did they start to sell water @AdmiralsClub ?,start sell water ?
negative,1.0,@united Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief,load u fly sardine knew pilot hour late flight ? ? incompetent beyond belief
neutral,0.6612,“@JetBlue: @dlewis2412 Sorry! Please ask Inflght if there is an open seat you can move to.” Will do!,sorry ! please ask inflght open seat move !
positive,0.6671,"@JetBlue big shoutout to the crews on 2017 Bos&gt;jfk &amp; 486 jfk&gt;roc, &amp; gate crews at c19 Bos &amp; 6 jfk. Long day of delays made better by them!",big shoutout crew bos gt jfk amp jfk gt roc amp gate crew c bos amp jfk long day delay make better !
negative,1.0,@USAirways how about now getting us the rest of our bags please? We only received 2 of 5. Can you help with that?,get u rest bags please ? receive help ?
neutral,1.0,"@USAirways @AmericanAir taking off now. if I don't have a private jet to bora bora by the time I land, I'm calling Oprah",take off do_not_have private jet bora bora time land call oprah
negative,0.6598,@united Bummer. Might have to go with @AmericanAir card instead. TY for response though.,bummer might go card instead ty response though
negative,1.0,"@JetBlue According to your ground staff, it hasn't even been taken off the plane yet!",accord ground staff has_not_even take off plane yet !
neutral,0.6736,@SouthwestAir @flightspots about time! #mobileboarding is a must!,time ! mobileboarding must !
negative,0.6583,@united please provide update on UA 791. This flight has been stranded by united with no information from the crew on the plane.,please provide update ua flight strand united no_information crew plane
negative,1.0,@JetBlue the slowest boarding process I've ever experienced and rude customer service agents.,slowest boarding process ever experience rude customer service agent
negative,1.0,@united you board a 630a flight and then Cancelled Flight it because it doesn't have a pilot?  Now I miss my meeting Atlanta because someone slept in?,board flight cancel flight does_not_have pilot ? miss meeting atlanta someone slept ?
negative,0.6613,@USAirways site shows on-time but FlightAware site shows delayed. Trying to decide if I get out in this ice to catch FLT 456 to PHX.,site show time flightaware site show delay try decide get out ice catch flt phx
positive,1.0,@united Thank you! Have a nice evening.,thank ! nice evening
negative,1.0,"@JetBlue Hold for 15 min, a couple of rings, then ""mailbox has not been set up yet."" Customer service forwarding to their cell phones? C'mon",hold min couple ring mailbox has_not_been set up yet customer service forward cell phone ? c mon
positive,1.0,@SouthwestAir The pilots&amp; crew on flt 3999 and customer service professionals at baggage claim are OUTSTANDING!! Thank you!!,pilot amp crew flt customer service professional baggage claim outstanding ! ! thank ! !
positive,1.0,@united I'll make sure he's done that. Thanks for the help. This is a huge race for him and just trying to make sure it goes smoothly. Peace,make sure do thanks help huge race try make sure go smoothly peace
neutral,1.0,@JetBlue I'll read this over a nice glass of wine right before I dig my heels into my next novel! Maybe travel is just what I need...,read over nice glass wine right dig heel next novel ! maybe travel need
positive,1.0,@united Thanks! Just DMed HN.,thanks ! dmed hn
positive,0.6531,@JetBlue Great thank you!,great thank !
positive,0.654,@JetBlue you can't beat jetblue in space's matter http://t.co/NRpWmGyv3e,cannot_beat jetblue space matter
negative,1.0,@JetBlue how can your entire system go down? No IT? Really?,entire system go down ? no_it ? really ?
positive,1.0,@united @JMS2802 : outsource it all United Airlines...your customers  are just loving you for it. Outsource. Outsource. Outsource.,outsource unite airline customer love outsource outsource outsource
neutral,0.3444,@SouthwestAir my flight continues through to Vegas after my stop. Don't be upset if a stowaway.,flight continue vega stop do_not_be upset stowaway
negative,1.0,@SouthwestAir offering us absolutely nothing for our troubles either. Blames the @TSA,offer u absolutely nothing trouble either blame
positive,0.6469,"@JetBlue im in a session presented by one of your beloved travelers, @paulgordonbrown,I see why you love him so much http://t.co/vv8cFyhKVb",session present one beloved traveler see love so much
negative,1.0,@united well this one missed the mark.  She was in a snit from the minute I stepped up to the counter,well one miss mark snit minute step up counter
negative,0.6714,"@united here I was thinking how I could say so many nice things after getting upgraded, but then you delayed my flight... It's ok!",thinking could say so many nice thing get upgraded delay flight ok !
negative,1.0,"@USAirways flight #703 Philly -&gt; Mia? Bwahahaha! Delayed 5+ hrs, were in the air 30 mins then turned back around. #usairwaysfail",flight philly gt mia ? bwahahaha ! delay hr air min turn back around usairwaysfail
negative,1.0,"@united employees are the angriest, angst-iest group of people anywhere (except for Tasha at check-in at IAH.) @dad_or_alive",employee angriest angst iest group people anywhere except tasha check iah
